exoplanetLabel,image,constellationLabel
Gliese 436 b,http://commons.wikimedia.org/wiki/Special:FilePath/Samenstelling%20GJ%20436b.jpg,Lion
HD 171028 b,http://commons.wikimedia.org/wiki/Special:FilePath/Planet%20HD%20171028%20b.png,Ophiuchus
HW Virginis c,http://commons.wikimedia.org/wiki/Special:FilePath/HW%20Virginis.png,Vierge
HD 47536 b,http://commons.wikimedia.org/wiki/Special:FilePath/Giant%20Star%20HD%2047536.jpg,Grand Chien
BD+14°4559 b,http://commons.wikimedia.org/wiki/Special:FilePath/BD%20%2B14%204559%20b%20exoplanet%20view%20from%20it%27s%20moon%20%28artist%27s%20impression%29.jpg,Pégase
Beta Pictoris b,http://commons.wikimedia.org/wiki/Special:FilePath/Beta%20Pictoris%20b%20%28artist%E2%80%99s%20impression%29.jpg,Peintre
MOA-2007-BLG-192Lb,http://commons.wikimedia.org/wiki/Special:FilePath/MOA-2007-BLG-192L.jpg,Sagittaire
Epsilon Eridani b,http://commons.wikimedia.org/wiki/Special:FilePath/Epsilon%20Eridani%20b.jpg,Éridan
PSR B1620-26 b,http://commons.wikimedia.org/wiki/Special:FilePath/Artist%27s%20impression%20of%20pulsar%20planet%20B1620-26c.jpg,Scorpion
Gliese 876 d,http://commons.wikimedia.org/wiki/Special:FilePath/Gliese%20876%20d%20Super-Earth.jpg,Verseau
BD+20 2457 c,http://commons.wikimedia.org/wiki/Special:FilePath/BD%2B20%202457%20C%20planet.png,Lion
Mu Arae c,http://commons.wikimedia.org/wiki/Special:FilePath/Mu%20Arae%20c.jpg,Autel
23 Librae b,http://commons.wikimedia.org/wiki/Special:FilePath/Planet%2023%20Librae%20b.png,Balance
Kepler-11e,http://commons.wikimedia.org/wiki/Special:FilePath/Kepler-11e%20%28Exoplanete%29.jpg,Cygne
HD 76700 b,http://commons.wikimedia.org/wiki/Special:FilePath/HD%2076700.png,Poisson volant
HD 12661 c,http://commons.wikimedia.org/wiki/Special:FilePath/HD%2012661%20c%20%28Celestia%29.jpg,Bélier
HD 154345 b,http://commons.wikimedia.org/wiki/Special:FilePath/HD154345B.jpg,Hercule
